codgeo,dep,reg,weight_dep,weight_reg,weight_fr
02366,02,32.0,49,4,3
02367,02,32.0,25,2,1
02368,02,32.0,117,10,8
02369,02,32.0,44,3,3
02370,02,32.0,119,10,8
02371,02,32.0,321,27,23
02372,02,32.0,70,6,5
02373,02,32.0,38,3,2
02374,02,32.0,172,14,12
02375,02,32.0,32,2,2
02376,02,32.0,13,1,0
02377,02,32.0,7,0,0
02378,02,32.0,10,0,0
02379,02,32.0,24,2,1
02380,02,32.0,5,0,0
02381,02,32.0,1821,156,133
02382,02,32.0,270,23,19
02383,02,32.0,289,24,21
02384,02,32.0,2,0,0
02385,02,32.0,12,1,0
02386,02,32.0,47,4,3
02387,02,32.0,204,17,14
02388,02,32.0,40,3,2
02389,02,32.0,110,9,8
02390,02,32.0,53,4,3
02391,02,32.0,42,3,3
02392,02,32.0,42,3,3
02393,02,32.0,27,2,2
02395,02,32.0,27,2,1
02396,02,32.0,0,0,0
02397,02,32.0,211,18,15
02398,02,32.0,36,3,2
02399,02,32.0,80,6,5
02400,02,32.0,12,1,0
02401,02,32.0,14,1,1
02402,02,32.0,0,0,0
02403,02,32.0,53,4,3
02404,02,32.0,37,3,2
02405,02,32.0,111,9,8
02406,02,32.0,26,2,1
02407,02,32.0,35,3,2
02408,02,32.0,5088,438,372
02409,02,32.0,54,4,4
02410,02,32.0,46,4,3
02411,02,32.0,15,1,1
02412,02,32.0,5,0,0
02413,02,32.0,43,3,3
02414,02,32.0,14,1,1
02415,02,32.0,29,2,2
02416,02,32.0,79,6,5
02417,02,32.0,4,0,0
02418,02,32.0,44,3,3
02419,02,32.0,38,3,2
02420,02,32.0,130,11,9
02421,02,32.0,20,1,1
02422,02,32.0,124,10,9
02423,02,32.0,48,4,3
02424,02,32.0,18,1,1
02425,02,32.0,33,2,2
02426,02,32.0,108,9,7
02427,02,32.0,8,0,0
02428,02,32.0,15,1,1
02429,02,32.0,6,0,0
02430,02,32.0,257,22,18
02431,02,32.0,77,6,5
02432,02,32.0,34,3,2
02433,02,32.0,46,4,3
02435,02,32.0,1,0,0
02438,02,32.0,35,3,2
02439,02,32.0,201,17,14
02440,02,32.0,25,2,1
02441,02,32.0,37,3,2
02442,02,32.0,16,1,1
02443,02,32.0,16,1,1
02444,02,32.0,5,0,0
02445,02,32.0,52,4,3
02446,02,32.0,8,0,0
02447,02,32.0,28,2,2
02448,02,32.0,25,2,1
02449,02,32.0,15,1,1
02450,02,32.0,54,4,4
02451,02,32.0,7,0,0
02452,02,32.0,24,2,1
02453,02,32.0,63,5,4
02454,02,32.0,74,6,5
02455,02,32.0,39,3,2
02456,02,32.0,58,5,4
02457,02,32.0,73,6,5
02458,02,32.0,154,13,11
02459,02,32.0,32,2,2
02460,02,32.0,15,1,1
02461,02,32.0,65,5,4
02462,02,32.0,41,3,3
02463,02,32.0,17,1,1
02464,02,32.0,68,5,5
02465,02,32.0,89,7,6
02466,02,32.0,25,2,1
02467,02,32.0,0,0,0
02468,02,32.0,452,38,33
02469,02,32.0,64,5,4
02470,02,32.0,47,4,3
02471,02,32.0,22,1,1
02472,02,32.0,57,4,4
02473,02,32.0,17,1,1
02474,02,32.0,78,6,5
02476,02,32.0,99,8,7
02477,02,32.0,189,16,13
02478,02,32.0,53,4,3
02480,02,32.0,55,4,4
02481,02,32.0,61,5,4
02482,02,32.0,9,0,0
02483,02,32.0,85,7,6
02484,02,32.0,77,6,5
02485,02,32.0,20,1,1
02486,02,32.0,17,1,1
02487,02,32.0,104,9,7
02488,02,32.0,32,2,2
02489,02,32.0,51,4,3
02490,02,32.0,23,2,1
02491,02,32.0,41,3,3
02492,02,32.0,77,6,5
02493,02,32.0,17,1,1
02494,02,32.0,23,2,1
02495,02,32.0,169,14,12
02496,02,32.0,6,0,0
02497,02,32.0,221,19,16
02498,02,32.0,142,12,10
02499,02,32.0,8,0,0
02500,02,32.0,153,13,11
02501,02,32.0,3,0,0
02502,02,32.0,257,22,18
02503,02,32.0,157,13,11
02504,02,32.0,313,26,22
02505,02,32.0,36,3,2
02506,02,32.0,36,3,2
02507,02,32.0,6,0,0
02508,02,32.0,27,2,2
02509,02,32.0,31,2,2
02510,02,32.0,30,2,2
02511,02,32.0,56,4,4
02512,02,32.0,53,4,3
02513,02,32.0,27,2,2
02514,02,32.0,104,9,7
02515,02,32.0,3,0,0
02516,02,32.0,2,0,0
02517,02,32.0,59,5,4
02518,02,32.0,25,2,1
02519,02,32.0,38,3,2
02520,02,32.0,139,12,10
02521,02,32.0,269,23,19
02522,02,32.0,3,0,0
02523,02,32.0,1,0,0
02524,02,32.0,135,11,9
02525,02,32.0,113,9,8
02526,02,32.0,5,0,0
02527,02,32.0,55,4,4
02528,02,32.0,42,3,3
02529,02,32.0,37,3,2
02530,02,32.0,3,0,0
02531,02,32.0,24,2,1
02532,02,32.0,155,13,11
02533,02,32.0,23,2,1
02534,02,32.0,8,0,0
02535,02,32.0,20,1,1
02536,02,32.0,5,0,0
02537,02,32.0,11,1,0
02538,02,32.0,11,0,0
02539,02,32.0,142,12,10
02540,02,32.0,238,20,17
02541,02,32.0,64,5,4
02542,02,32.0,4,0,0
02543,02,32.0,419,36,30
02544,02,32.0,122,10,8
02545,02,32.0,34,2,2
02546,02,32.0,34,2,2
02547,02,32.0,3,0,0
